Row Labels,2005,Max of Production
Himachal Pradesh,46107,8842
Jammu and Kashmir ,58166,606
Karnataka,144464,6545
Madhya Pradesh,273225,21631
Manipur,50047,880
Meghalaya,28172,1993
Mizoram,22035,142
Nagaland,146524,1630
Punjab,62245,18000
Rajasthan,158196,17926
Tripura,34160,272
Uttar Pradesh,609692,127690
Uttarakhand,110407,5955
West Bengal,156470,4157
Perilla,8052,180
Nagaland,8052,180
Pineapple,148527,67243
Assam,92417,67243
Goa,2013,3186
Kerala,26060,15618
Manipur,10014,15375
Meghalaya,6008,29621
Tamil Nadu,12015,34394
Plums,4004,0
Tamil Nadu,4004,0
Pome Fruit,196246,26077
Andhra Pradesh,10012,2443
Karnataka,30037,4152
Madhya Pradesh,68086,0
Manipur,4005,188
Rajasthan,24029,0
Tamil Nadu,48061,6726
Telangana ,12016,26077
Pome Granet,36142,17671
Andhra Pradesh,18120,17671
Tamil Nadu,18022,0
Potato,4138166,3434459
Andhra Pradesh,34130,15206
Arunachal Pradesh,160529,8025
Assam,262771,165586
Bihar,250282,139349
Chandigarh,8008,3250
Chhattisgarh,174824,33097
Gujarat,86208,867700
Haryana,154302,160400
Himachal Pradesh,92171,60966
Jammu and Kashmir ,74248,6081.4
Jharkhand,100310,42206.38
Karnataka,265046,263565
Kerala,10056,18758
Madhya Pradesh,383295,256523
Manipur,40041,3240
Meghalaya,104393,129254
Mizoram,28083,2300
Nagaland,106416,16190
Odisha,342955,21728
Rajasthan,206403,45199
Sikkim,4004,10180
Tamil Nadu,46101,41494
Telangana ,16033,13965
Tripura,6001,31610
Uttar Pradesh,788200,1836400
Uttarakhand,182755,69064
West Bengal,210601,3434459
Pulses total,142053,478700
Arunachal Pradesh,32014,663
Gujarat,25970,98400
Maharashtra,15976,1005
Meghalaya,7991,380
Sikkim,1998,1670
Tamil Nadu,21971,72770
Uttarakhand,22154,6250
West Bengal,13979,478700
Pump Kin,52200,0
Kerala,26169,
Tamil Nadu,26031,0
Ragi,2491152,308091
Andhra Pradesh,206612,35041
Bihar,312856,7724
Chhattisgarh,124481,1644
Dadra and Nagar Haveli,8014,2166
Goa,16063,279
Gujarat,28083,13000
Himachal Pradesh,20069,981
